#INPUT_TABLE
#Variable ID
#StubTechProd
#
region,supplysector,subsector,stub.technology,year,calOutputValue,share.weight.year,subs.share.weight,share.weight
European Free Trade Association,electricity,solar,PV,2005,6.84e-05,2005,1,1
India,electricity,solar,PV,2005,6.84e-05,2005,1,1
Indonesia,electricity,solar,PV,2005,0,2005,0,0
Japan,electricity,solar,PV,2005,0.0053748,2005,1,1
Mexico,electricity,solar,PV,2005,3.24e-05,2005,1,1
Middle East,electricity,solar,PV,2005,0,2005,0,0
Pakistan,electricity,solar,PV,2005,0,2005,0,0
Russia,electricity,solar,PV,2005,0,2005,0,0
South Africa,electricity,solar,PV,2005,7.56e-05,2005,1,1
South America_Northern,electricity,solar,PV,2005,0,2005,0,0
South America_Southern,electricity,solar,PV,2005,0,2005,0,0
South Asia,electricity,solar,PV,2005,0.0005012,2005,1,1
South Korea,electricity,solar,PV,2005,5.4e-05,2005,1,1
Southeast Asia,electricity,solar,PV,2005,0.0002509,2005,1,1
Taiwan,electricity,solar,PV,2005,3.6e-06,2005,1,1
Argentina,electricity,solar,PV,2005,0,2005,0,0
Colombia,electricity,solar,PV,2005,0,2005,0,0
USA,electricity,wind,wind,2005,0.0643716,2005,1,1
Africa_Eastern,electricity,wind,wind,2005,1.11e-05,2005,1,1
Africa_Northern,electricity,wind,wind,2005,0.0028801,2005,1,1
Africa_Southern,electricity,wind,wind,2005,2.4e-06,2005,1,1
Africa_Western,electricity,wind,wind,2005,1.17e-05,2005,1,1
Australia_NZ,electricity,wind,wind,2005,0.0053964,2005,1,1
Brazil,electricity,wind,wind,2005,0.0003348,2005,1,1
Canada,electricity,wind,wind,2005,0.0052956,2005,1,1
Central America and Caribbean,electricity,wind,wind,2005,0.0009144,2005,1,1
Central Asia,electricity,wind,wind,2005,0,2005,0,0
China,electricity,wind,wind,2005,0.0073015,2005,1,1
EU-12,electricity,wind,wind,2005,0.001008,2005,1,1
EU-15,electricity,wind,wind,2005,0.2525868,2005,1,1
Europe_Eastern,electricity,wind,wind,2005,0.0001404,2005,1,1
Europe_Non_EU,electricity,wind,wind,2005,0.0002484,2005,1,1
European Free Trade Association,electricity,wind,wind,2005,0.0018252,2005,1,1
India,electricity,wind,wind,2005,0.0237708,2005,1,1
Indonesia,electricity,wind,wind,2005,0,2005,0,0
Japan,electricity,wind,wind,2005,0.0063144,2005,1,1
Mexico,electricity,wind,wind,2005,6.84e-05,2005,1,1
Middle East,electricity,wind,wind,2005,0.000306,2005,1,1
Pakistan,electricity,wind,wind,2005,0,2005,0,0
Russia,electricity,wind,wind,2005,2.52e-05,2005,1,1
South Africa,electricity,wind,wind,2005,0.0001152,2005,1,1
South America_Northern,electricity,wind,wind,2005,0,2005,0,0
South America_Southern,electricity,wind,wind,2005,2.88e-05,2005,1,1
South Asia,electricity,wind,wind,2005,4.92e-05,2005,1,1
South Korea,electricity,wind,wind,2005,0.000468,2005,1,1
Southeast Asia,electricity,wind,wind,2005,8.33e-05,2005,1,1
Taiwan,electricity,wind,wind,2005,0.0003276,2005,1,1
Argentina,electricity,wind,wind,2005,0.00027,2005,1,1
Colombia,electricity,wind,wind,2005,0.0001764,2005,1,1
USA,electricity,geothermal,geothermal,2010,0.0632772,2010,1,1
Africa_Eastern,electricity,geothermal,geothermal,2010,0.0052956,2010,1,1
Africa_Northern,electricity,geothermal,geothermal,2010,0,2010,0,0
Africa_Southern,electricity,geothermal,geothermal,2010,0,2010,0,0
Africa_Western,electricity,geothermal,geothermal,2010,0,2010,0,0
Australia_NZ,electricity,geothermal,geothermal,2010,0.0209844,2010,1,1
Brazil,electricity,geothermal,geothermal,2010,0,2010,0,0
Canada,electricity,geothermal,geothermal,2010,0,2010,0,0
Central America and Caribbean,electricity,geothermal,geothermal,2010,0.0117864,2010,1,1
Central Asia,electricity,geothermal,geothermal,2010,0,2010,0,0
China,electricity,geothermal,geothermal,2010,0.0005832,2010,1,1
EU-12,electricity,geothermal,geothermal,2010,0,2010,0,0
EU-15,electricity,geothermal,geothermal,2010,0.0201672,2010,1,1
Europe_Eastern,electricity,geothermal,geothermal,2010,0,2010,0,0
Europe_Non_EU,electricity,geothermal,geothermal,2010,0.0024048,2010,1,1
European Free Trade Association,electricity,geothermal,geothermal,2010,0.016074,2010,1,1
India,electricity,geothermal,geothermal,2010,0,2010,0,0
Indonesia,electricity,geothermal,geothermal,2010,0.0336852,2010,1,1
Japan,electricity,geothermal,geothermal,2010,0.0094752,2010,1,1
Mexico,electricity,geothermal,geothermal,2010,0.0238248,2010,1,1
Middle East,electricity,geothermal,geothermal,2010,0,2010,0,0
Pakistan,electricity,geothermal,geothermal,2010,0,2010,0,0
Russia,electricity,geothermal,geothermal,2010,0.001818,2010,1,1
South Africa,electricity,geothermal,geothermal,2010,0,2010,0,0
South America_Northern,electricity,geothermal,geothermal,2010,0,2010,0,0
South America_Southern,electricity,geothermal,geothermal,2010,0,2010,0,0
South Asia,electricity,geothermal,geothermal,2010,0,2010,0,0
South Korea,electricity,geothermal,geothermal,2010,0,2010,0,0
Southeast Asia,electricity,geothermal,geothermal,2010,0.0357516,2010,1,1
Taiwan,electricity,geothermal,geothermal,2010,0,2010,0,0
Argentina,electricity,geothermal,geothermal,2010,0,2010,0,0
Colombia,electricity,geothermal,geothermal,2010,0,2010,0,0
USA,electricity,nuclear,Gen_II_LWR,2010,3.0201516,2010,1,1
Africa_Eastern,electricity,nuclear,Gen_II_LWR,2010,0,2010,0,0
Africa_Northern,electricity,nuclear,Gen_II_LWR,2010,0,2010,0,0
Africa_Southern,electricity,nuclear,Gen_II_LWR,2010,0,2010,0,0
Africa_Western,electricity,nuclear,Gen_II_LWR,2010,0,2010,0,0
Australia_NZ,electricity,nuclear,Gen_II_LWR,2010,0,2010,0,0
Brazil,electricity,nuclear,Gen_II_LWR,2010,0.0522828,2010,1,1
Canada,electricity,nuclear,Gen_II_LWR,2010,0.3263724,2010,1,1
Central America and Caribbean,electricity,nuclear,Gen_II_LWR,2010,0,2010,0,0
Central Asia,electricity,nuclear,Gen_II_LWR,2010,0.008964,2010,1,1
China,electricity,nuclear,Gen_II_LWR,2010,0.265968,2010,1,1
EU-12,electricity,nuclear,Gen_II_LWR,2010,0.3271032,2010,1,1
EU-15,electricity,nuclear,Gen_II_LWR,2010,2.9726928,2010,1,1
Europe_Eastern,electricity,nuclear,Gen_II_LWR,2010,0.3209472,2010,1,1
Europe_Non_EU,electricity,nuclear,Gen_II_LWR,2010,0,2010,0,0
European Free Trade Association,electricity,nuclear,Gen_II_LWR,2010,0.0948204,2010,1,1
India,electricity,nuclear,Gen_II_LWR,2010,0.0945576,2010,1,1
Indonesia,electricity,nuclear,Gen_II_LWR,2010,0,2010,0,0
Japan,electricity,nuclear,Gen_II_LWR,2010,1.037628,2010,1,1
Mexico,electricity,nuclear,Gen_II_LWR,2010,0.0211644,2010,1,1
Middle East,electricity,nuclear,Gen_II_LWR,2010,0,2010,0,0
Pakistan,electricity,nuclear,Gen_II_LWR,2010,0.012312,2010,1,1
Russia,electricity,nuclear,Gen_II_LWR,2010,0.613494,2010,1,1
South Africa,electricity,nuclear,Gen_II_LWR,2010,0.0435564,2010,1,1
South America_Northern,electricity,nuclear,Gen_II_LWR,2010,0,2010,0,0
South America_Southern,electricity,nuclear,Gen_II_LWR,2010,0,2010,0,0
South Asia,electricity,nuclear,Gen_II_LWR,2010,0,2010,0,0
South Korea,electricity,nuclear,Gen_II_LWR,2010,0.5349456,2010,1,1
Southeast Asia,electricity,nuclear,Gen_II_LWR,2010,0,2010,0,0
Taiwan,electricity,nuclear,Gen_II_LWR,2010,0.1498644,2010,1,1
Argentina,electricity,nuclear,Gen_II_LWR,2010,0.0258156,2010,1,1
Colombia,electricity,nuclear,Gen_II_LWR,2010,0,2010,0,0
USA,electricity,solar,CSP,2010,0.0031644,2010,1,1
Africa_Eastern,electricity,solar,CSP,2010,0,2010,1,0
Africa_Northern,electricity,solar,CSP,2010,0,2010,0,0
Africa_Southern,electricity,solar,CSP,2010,0,2010,0,0
Africa_Western,electricity,solar,CSP,2010,0,2010,1,0
Australia_NZ,electricity,solar,CSP,2010,1.44e-05,2010,1,1
Brazil,electricity,solar,CSP,2010,0,2010,0,0
Canada,electricity,solar,CSP,2010,0,2010,1,0
Central America and Caribbean,electricity,solar,CSP,2010,0,2010,1,0
Central Asia,electricity,solar,CSP,2010,0,2010,0,0
China,electricity,solar,CSP,2010,0,2010,1,0
EU-12,electricity,solar,CSP,2010,0,2010,1,0
EU-15,electricity,solar,CSP,2010,0.0024912,2010,1,1
Europe_Eastern,electricity,solar,CSP,2010,0,2010,0,0
Europe_Non_EU,electricity,solar,CSP,2010,0,2010,0,0
European Free Trade Association,electricity,solar,CSP,2010,0,2010,1,0
India,electricity,solar,CSP,2010,0,2010,1,0
Indonesia,electricity,solar,CSP,2010,0,2010,0,0
Japan,electricity,solar,CSP,2010,0,2010,1,0
Mexico,electricity,solar,CSP,2010,0,2010,1,0
Middle East,electricity,solar,CSP,2010,0,2010,1,0
Pakistan,electricity,solar,CSP,2010,0,2010,0,0
Russia,electricity,solar,CSP,2010,0,2010,0,0
South Africa,electricity,solar,CSP,2010,0,2010,1,0
South America_Northern,electricity,solar,CSP,2010,0,2010,0,0
South America_Southern,electricity,solar,CSP,2010,0,2010,1,0
South Asia,electricity,solar,CSP,2010,0,2010,1,0
South Korea,electricity,solar,CSP,2010,0,2010,1,0
Southeast Asia,electricity,solar,CSP,2010,0,2010,1,0
Taiwan,electricity,solar,CSP,2010,0,2010,1,0
Argentina,electricity,solar,CSP,2010,0,2010,0,0
Colombia,electricity,solar,CSP,2010,0,2010,0,0
USA,electricity,solar,PV,2010,0.010998,2010,1,1
Africa_Eastern,electricity,solar,PV,2010,7.2e-06,2010,1,1
Africa_Northern,electricity,solar,PV,2010,0,2010,0,0
Africa_Southern,electricity,solar,PV,2010,0,2010,0,0
Africa_Western,electricity,solar,PV,2010,1.08e-05,2010,1,1
Australia_NZ,electricity,solar,PV,2010,0.0009828,2010,1,1
Brazil,electricity,solar,PV,2010,0,2010,0,0
Canada,electricity,solar,PV,2010,0.0005688,2010,1,1
Central America and Caribbean,electricity,solar,PV,2010,4.32e-05,2010,1,1
Central Asia,electricity,solar,PV,2010,0,2010,0,0
China,electricity,solar,PV,2010,0.0033885,2010,1,1
EU-12,electricity,solar,PV,2010,0.0024084,2010,1,1
EU-15,electricity,solar,PV,2010,0.0781812,2010,1,1
Europe_Eastern,electricity,solar,PV,2010,0,2010,0,0
Europe_Non_EU,electricity,solar,PV,2010,0,2010,0,0
European Free Trade Association,electricity,solar,PV,2010,0.0002988,2010,1,1
India,electricity,solar,PV,2010,8.28e-05,2010,1,1
Indonesia,electricity,solar,PV,2010,0,2010,0,0
Japan,electricity,solar,PV,2010,0.0136764,2010,1,1
Mexico,electricity,solar,PV,2010,0.0001116,2010,1,1
Middle East,electricity,solar,PV,2010,0.000252,2010,1,1
Pakistan,electricity,solar,PV,2010,0,2010,0,0
Russia,electricity,solar,PV,2010,0,2010,0,0
South Africa,electricity,solar,PV,2010,7.56e-05,2010,1,1
South America_Northern,electricity,solar,PV,2010,0,2010,0,0
South America_Southern,electricity,solar,PV,2010,1.08e-05,2010,1,1
South Asia,electricity,solar,PV,2010,0.0005476,2010,1,1
South Korea,electricity,solar,PV,2010,0.0027792,2010,1,1
Southeast Asia,electricity,solar,PV,2010,0.0003334,2010,1,1
Taiwan,electricity,solar,PV,2010,8.28e-05,2010,1,1
Argentina,electricity,solar,PV,2010,0,2010,0,0
Colombia,electricity,solar,PV,2010,0,2010,0,0
USA,electricity,wind,wind,2010,0.3425328,2010,1,1
Africa_Eastern,electricity,wind,wind,2010,0.0002327,2010,1,1
Africa_Northern,electricity,wind,wind,2010,0.0082198,2010,1,1
Africa_Southern,electricity,wind,wind,2010,3.55e-05,2010,1,1
Africa_Western,electricity,wind,wind,2010,0.0001769,2010,1,1
Australia_NZ,electricity,wind,wind,2010,0.0231552,2010,1,1
Brazil,electricity,wind,wind,2010,0.0078372,2010,1,1
Canada,electricity,wind,wind,2010,0.0344052,2010,1,1
Central America and Caribbean,electricity,wind,wind,2010,0.00207,2010,1,1
Central Asia,electricity,wind,wind,2010,2.88e-05,2010,1,1
China,electricity,wind,wind,2010,0.1606448,2010,1,1
EU-12,electricity,wind,wind,2010,0.0147852,2010,1,1
EU-15,electricity,wind,wind,2010,0.5218416,2010,1,1
Europe_Eastern,electricity,wind,wind,2010,0.0001872,2010,1,1
Europe_Non_EU,electricity,wind,wind,2010,0.0110016,2010,1,1
European Free Trade Association,electricity,wind,wind,2010,0.0033552,2010,1,1
India,electricity,wind,wind,2010,0.0716796,2010,1,1
Indonesia,electricity,wind,wind,2010,0,2010,0,0
Japan,electricity,wind,wind,2010,0.0142632,2010,1,1
Mexico,electricity,wind,wind,2010,0.0044604,2010,1,1
Middle East,electricity,wind,wind,2010,0.0006264,2010,1,1
Pakistan,electricity,wind,wind,2010,0,2010,0,0
Russia,electricity,wind,wind,2010,1.44e-05,2010,1,1
South Africa,electricity,wind,wind,2010,0.0001152,2010,1,1
South America_Northern,electricity,wind,wind,2010,0,2010,0,0
South America_Southern,electricity,wind,wind,2010,0.0014544,2010,1,1
South Asia,electricity,wind,wind,2010,0.0001312,2010,1,1
South Korea,electricity,wind,wind,2010,0.0029412,2010,1,1
Southeast Asia,electricity,wind,wind,2010,0.0002845,2010,1,1
Taiwan,electricity,wind,wind,2010,0.0035136,2010,1,1
Argentina,electricity,wind,wind,2010,9e-05,2010,1,1
Colombia,electricity,wind,wind,2010,0.0001404,2010,1,1
